index,Date,sentence,p_neg,p_neu,p_pos,tone,label
0,2020-03-03,"The Manila Times President and CEO, Mr. Dante Ang II, my co-speakers and colleagues in the government service; distinguished speakers from the business community as well as The World Bank; ladies and gentlemen, good morning.",0.0022099991,0.9734334,0.024356527,0.022146529,neutral
0,2020-03-03,It is a pleasure to be joining today's Business Forum to share the BSP's views on the macroeconomic developments and prospects for the Philippine economy at a time when the domestic economy is seeing both low inflation and robust economic growth.,0.00487601,0.16596703,0.82915694,0.8242809,positive
0,2020-03-03,In line with the conference theme and given that the other economic team members are here - allow me to share my insights on the economy's outlook for the year from the perspective of a central banker.,0.0027999317,0.96300507,0.034194946,0.031395014,neutral
0,2020-03-03,"High and volatile inflation is undesirable because it leads to slower real economic growth and lower social welfare for most Filipinos, especially the poor.",0.92446965,0.05128867,0.024241675,-0.90022796,negative
0,2020-03-03,"Until recently, the Philippines is characterized as high inflation and low growth.",0.8618748,0.112522855,0.025602328,-0.8362725,negative
0,2020-03-03,"In 2002, onward this trend was reversed.",0.026812166,0.91076815,0.062419664,0.0356075,neutral
0,2020-03-03,This development happened when BSP adopted the inflation targeting framework.,0.008503292,0.9344671,0.057029665,0.048526373,neutral
0,2020-03-03,"In recent years, we are seeing the generally sustained positive alignment of strong growth and low inflation which is what is needed to ensure that the economy can continue growing without having to worry about overheating.",0.0043783053,0.07485455,0.9207672,0.91638887,positive
0,2020-03-03,"The BSP, being the country's central monetary policy authority with the core mandate of promoting price stability, is committed to ensure that this non-inflation growth is sustained.",0.0037863129,0.3523962,0.6438175,0.64003116,positive
0,2020-03-03,"Manageable inflation along with expectations of within-target inflation over the policy horizon is expected to boost consumption demand, which has been consistently one of the key growth drivers of the domestic economy.",0.019414874,0.17749897,0.8030862,0.7836713,positive
0,2020-03-03,"In 2019, headline inflation eased significantly, averaging 2.5 percent, lower than the 5.2 percent inflation in 2018.",0.027496805,0.073971055,0.89853215,0.87103534,positive
0,2020-03-03,The deceleration was largely driven by slower price increases of rice and other selected food and energy items.,0.37203005,0.5179382,0.11003179,-0.26199827,neutral
0,2020-03-03,Food inflation dropped to 1.8 percent year-on-year in 2019 from 6.6 percent in 2018 due to improving supply conditions.,0.026784291,0.089701064,0.8835147,0.8567304,positive
0,2020-03-03,Rice prices declined in 2019 largely due to the Rice Tariffication Law and the continued arrival of rice imports.,0.030650135,0.2973007,0.67204916,0.641399,positive
0,2020-03-03,"At the same time, inflation rates for meat, fish, oils, and fats, vegetables, as well as sweeteners posted slower price increases during the year.",0.045466386,0.28895664,0.665577,0.62011063,positive
0,2020-03-03,"Likewise, non-food inflation also fell in 2019 due largely to easing energy prices.",0.060354605,0.18956496,0.75008047,0.6897259,positive
0,2020-03-03,The pursuit of prudent and well-calibrated monetary policy by the BSP continues to support favorable inflation dynamics in the country.,0.003926033,0.14343733,0.8526367,0.84871066,positive
0,2020-03-03,"In 2019, as a pre-emptive move against the risks associated with lingering sluggish global growth, the Monetary Board (MB) decided to reduce the policy rate by 25 bps in May, August, and September 2019, respectively.",0.016112048,0.5556688,0.4282192,0.41210714,neutral
0,2020-03-03,"And in its most recent monetary policy stance meeting on 6 February 2020, the MB cut the policy rate by another 25bps.",0.0075969426,0.66445863,0.3279445,0.32034755,neutral
0,2020-03-03,"The Board was of the view that a tame inflation environment, there is a room for a further preemptive reduction in the policy rate to support market confidence.",0.008922169,0.6728888,0.318189,0.30926684,neutral
0,2020-03-03,The MB noted the possible adverse impact of the spread of the 2019 novel coronavirus on global market sentiment as well as on domestic economic activity in the coming months.,0.8075013,0.1591257,0.033372927,-0.7741284,negative
0,2020-03-03,"Latest baseline forecasts indicate a target-consistent path of inflation for 2020 and 2021, with average inflation remaining within the target range of 3.0 percent ± 1.0 percentage point.",0.01189107,0.7826103,0.20549868,0.19360761,neutral
0,2020-03-03,The balance of risks to the inflation outlook continue to tilt slightly toward the downside in 2020 and in 2021.,0.13096423,0.75170314,0.11733261,-0.013631627,neutral
0,2020-03-03,Forecasts by other institutions generally convey similar expectations.,0.0080855815,0.9336927,0.058221646,0.050136063,neutral
0,2020-03-03,"Capital Economics forecasts 2.8 percent inflation for 2020; Oxford Economics, 2.9 percent; Asian Development Bank, 3.0 percent; and IMF, 2.6 percent.",0.117684074,0.8074287,0.07488719,-0.042796887,neutral
0,2020-03-03,We have also seen continued improvement in the growth of both domestic liquidity and credit activities in line with the needs of the economy.,0.005194418,0.06703771,0.9277679,0.92257345,positive
0,2020-03-03,"Latest data show that domestic liquidity (M3) expanded by 11.4 percent year-on-year to about ₱13.0 trillion in December 2019, faster than the 9.8-percent growth in November.",0.09856066,0.23378915,0.66765016,0.56908953,positive
0,2020-03-03,Demand for credit remained the principal driver of money supply growth.,0.013714511,0.58969605,0.3965895,0.38287497,neutral
0,2020-03-03,"On the other hand, preliminary data show that outstanding loans of universal and commercial banks, net of reverse repurchase (RRP) placements with the BSP, grew by 10.9 percent in December, faster than the 10.1-percent expansion in the previous month.",0.11995721,0.34838304,0.5316598,0.41170257,positive
0,2020-03-03,"Loans for production activities--which comprised 87.4 percent of banks' aggregate loan portfolio, net of RRPs--expanded at a rate of 9.1 percent in December, higher than the reported growth in November at 8.1 percent.",0.019443842,0.15523249,0.8253237,0.80587983,positive
0,2020-03-03,"These loans continued to be driven by lending to key sectors such as real estate activities; financial and insurance activities; electricity, gas, steam and air conditioning supply; construction; and information and communication.",0.0083194105,0.73639566,0.25528494,0.24696553,neutral
0,2020-03-03,Loans for household consumption increased due to faster growth in credit card and salary-based consumption loans during the month.,0.031049917,0.27140903,0.69754106,0.66649115,positive
0,2020-03-03,The series of reduction in both policy rates and reserve requirement ratios of banks since last year are anticipated to support both credit conditions and overall economic activity moving forward.,0.010785244,0.10565962,0.88355505,0.87276983,positive
0,2020-03-03,"Meanwhile, Philippine banks remain robust, well-capitalized, and sound.",0.004395431,0.07175887,0.92384577,0.91945034,positive
0,2020-03-03,"The banks' capital adequacy ratios, both on a solo and consolidated bases, continue to be well above the standards set by the Bank for International Settlements (BIS) of 8 percent, as well as the BSP""s standard of 10 percent.",0.005297634,0.1280855,0.8666169,0.86131924,positive
0,2020-03-03,The quality of lending continues to improve.,0.0044411453,0.051001392,0.9445574,0.9401163,positive
0,2020-03-03,The gross non-performing loans (GNPL) and non-performing assets (NPA) ratios of Philippine universal and commercial banks (UKBs) have been falling since the early 2000s.,0.038309887,0.22562796,0.73606217,0.6977523,positive
0,2020-03-03,"The sustained health and soundness of the country's financial sector have been supported by the continuing financial reform agenda of the BSP in the areas of banking supervision, financial inclusion, cybersecurity and technology risk management, anti-money laundering, counter-terrorist financing, and capital market development.",0.0034620857,0.07649462,0.9200433,0.9165812,positive
0,2020-03-03,The country's external payments position also continues to provide buffers particularly amid the recently recorded surpluses in the balance of payments position along with a lower current account deficit for the first three quarters of 2019.,0.006212514,0.0690838,0.9247037,0.9184912,positive
0,2020-03-03,"We expect this trend to continue on the back of the continued bright prospects of the domestic economy, implementation of major infrastructure projects, and improved global perception of the Philippines as an investment destination.",0.00322672,0.07919618,0.9175771,0.9143504,positive
0,2020-03-03,"While the current account is expected to post a deficit over the medium term, it remains manageable and financeable.",0.07416986,0.28596553,0.63986456,0.5656947,positive
0,2020-03-03,The domestic economy continues to have a steady and stable structural sources of foreign exchange inflows that are more than enough to finance the country's foreign exchange requirements without resorting to excessive foreign borrowing.,0.004699,0.055070702,0.9402303,0.9355313,positive
0,2020-03-03,"The stable structural foreign exchange inflows from overseas Filipino (OF) remittances, tourism and IT-BPO receipts continue to buoy the external sector.",0.0053413087,0.07556063,0.9190981,0.9137568,positive
0,2020-03-03,"Foreign direct investments or (FDI) for the first eleven months of 2019 reached US$6.4 billion, inching closer to the full-year projection of US$6.8 billion.",0.00969282,0.09472061,0.89558655,0.8858937,positive
0,2020-03-03,"We expect FDI to continue to slowdown due to mounting uncertainties in the global environment which continue to dampen investor sentiment, both externally and domestically.",0.7946299,0.1491619,0.05620818,-0.7384217,negative
0,2020-03-03,FX inflows from OF remittances as well as BPO earnings continue to contribute significantly to the country's GIR.,0.009567268,0.14152737,0.8489054,0.8393381,positive
0,2020-03-03,Cash remittances reached US$30.1 billion in 2019 while BPO revenues were recorded at US$16.4 billion for the first three quarters of 2019.,0.021540321,0.37014815,0.6083116,0.58677125,positive
0,2020-03-03,"Preliminary data as of end-January 2020 shows that the country's gross international reserves (GIR) stood at US$86.4 billion, which provides an ample external liquidity buffer that is equivalent to 7.6 months' worth of imports of goods and services and payment of primary income.",0.009303959,0.15958695,0.83110905,0.82180506,positive
0,2020-03-03,This is way above the traditional 3 month-import cover.,0.006854829,0.9398301,0.05331507,0.04646024,neutral
0,2020-03-03,"We will continue to monitor recent developments that could pose as risks to these inflows (tourism, remittances, exports), such as the lingering weak external demand, the impact of Corona virus outbreak in China and the continued uncertainty surrounding the trade deal between the US and China, among others.",0.30340502,0.6352035,0.061391532,-0.24201348,neutral
0,2020-03-03,The sustained build-up of the country's foreign exchange reserves continues to lend strong support for the stability of the Philippine peso.,0.0060670036,0.055381536,0.9385515,0.9324845,positive
0,2020-03-03,The current movement of the peso reflects a confluence of factors from both the external and domestic environment.,0.14240047,0.7845985,0.07300099,-0.06939948,neutral
0,2020-03-03,We continue to adopt a market-determined exchange rate which allows the value of the Philippine peso to move along with the demand for and supply of foreign exchange in the economy.,0.0070078927,0.3329654,0.66002667,0.6530188,positive
0,2020-03-03,"Nevertheless, the we are ready to act to prevent excessive peso volatility and overshooting due to speculative activities.",0.018417696,0.6345462,0.34703612,0.32861844,neutral
0,2020-03-03,"Fitch Ratings recent revision of the Philippine's outlook from stable to positive, R&I's upgrade of the Philippines' credit rating from ""BBB"" to ""BBB+"", the BSP's decision to cut policy rates by 25 bps as well as reports of an all-time high remittances and tourism in the Philippines in 2019 provided a calm ground for country's financial markets..",0.0062387735,0.107937604,0.8858236,0.87958485,positive
0,2020-03-03,"The equities market continues to perform strongly in the second month of 2020 as the PSEi continued to trade above the 7,100 benchmark, hitting a peak of 7,507.20 index pts.",0.008471177,0.043053944,0.9484749,0.9400037,positive
0,2020-03-03,"on 11 February before closing at 7,413.0 pts on 20 February 2020.",0.004078385,0.94097686,0.054944824,0.05086644,neutral
0,2020-03-03,"Meanwhile, the bond market, as of 19 February 2020, the Emerging Market Bond Index Global (EMBIG) Philippines spread, stood narrower at 68 bps from the end-January level of 83 bps.",0.020256242,0.17174393,0.8079998,0.78774357,positive
0,2020-03-03,"Similarly, the country's 5-year sovereign credit default swap (CDS) spread decreased to 34 bps from the end-January level of 42 bps.",0.020604167,0.1740978,0.805298,0.7846938,positive
0,2020-03-03,"Against other neighboring economies, the Philippine CDS traded the same with Malaysia's 34-bps spread, and narrower than Indonesia's 58-bps spread, but wider than Thailand's and Korea's 26-bps and 22-bps, respectively.",0.044223424,0.5917069,0.36406973,0.3198463,neutral
0,2020-03-03,"Overall, these numbers demonstrate investors' confidence in the country's creditworthiness.",0.006857072,0.26875213,0.72439075,0.71753365,positive
0,2020-03-03,"Portfolio flows to emerging markets (EMs) continued their recovery, supported by monetary easing by major central banks and a US-China phase one trade deal.1 However, BSP-registered foreign portfolio investments continued to yield net outflows due to: continuing geopolitical tensions between the US and Iran; (ii) ongoing trade negotiations between the US and China; (iii) renegotiation of the contracts of the country's water concessionaires; and (iv) investor concerns on the spread of the novel coronavirus originating from Wuhan, China.",0.55175245,0.31811804,0.13012956,-0.42162287,negative
0,2020-03-03,The favorable external debt profile of the country serves as cushions against external shocks.,0.011298279,0.14268194,0.8460198,0.8347215,positive
0,2020-03-03,The country's external debt metrics exhibited a significant improvement as the country's external debt-to-GDP ratio settled at 23.7 percent as of end-September 2019 compared to about 60.0 percent in the mid-2000s.,0.013698134,0.06535404,0.92094785,0.9072497,positive
0,2020-03-03,"Given that the bulk of the country's external debt remains in medium and long-term maturity profile and are fixed interest rate bearing, debt repayment schedule is more manageable and financially viable.",0.012523606,0.28467488,0.7028015,0.69027793,positive
0,2020-03-03,"Ladies and gentlemen, the best is yet to come for the Philippine economy.",0.0072622364,0.235283,0.7574547,0.75019246,positive
0,2020-03-03,Prospects for the economy in the near and medium-term continue to be bright.,0.005693184,0.08498863,0.90931815,0.90362495,positive
0,2020-03-03,"Robust monetary, financial and external sectors are expected to continue to lend support to the country's growth despite external threats and domestic challenges.",0.0087626465,0.11839056,0.87284684,0.8640842,positive
0,2020-03-03,"External risks to the country's growth and inflation outlook in 2020 and over the medium-term include: the threat of a synchronized global economic slowdown; retreat to multilateralism; rising geopolitical tensions, notably between the US and Iran; adoption of protectionist policies in major economies (still high trade barriers between US and China, Brexit, etc.",0.82881594,0.13420008,0.03698396,-0.791832,negative
0,2020-03-03,"); and the recent coronavirus outbreak which has been declared as ""global health emergency"" by the World Health Organization (WHO).",0.6870703,0.27916408,0.03376561,-0.6533047,negative
0,2020-03-03,"In the domestic front, the failure to enhance disaster resilience amid increased intensity and frequency of natural hazards and the failure deliver the planned Build.",0.79176766,0.17763902,0.030593332,-0.7611743,negative
0,2020-03-03,Build.,0.009175508,0.8332458,0.1575787,0.1484032,neutral
0,2020-03-03,Build projects are among the key challenges that are on our radar screen.,0.01563812,0.9281075,0.056254316,0.040616196,neutral
0,2020-03-03,"In the greater scheme of things, where does the BSP enter in the picture?",0.008125178,0.9635638,0.028311126,0.020185947,neutral
0,2020-03-03,What are the BSP's policy thrusts to contribute in the collective goal of ensuring that the Philippine economy stays on track - sustaining the growth and inflation dynamics - in 2020 and beyond?,0.005932057,0.5848307,0.40923724,0.40330517,neutral
0,2020-03-03,The answer is simple.,0.009857439,0.9405183,0.049624264,0.039766826,neutral
0,2020-03-03,The BSP will continue to pursue necessary policy measures and structural reforms to ensure that it will be able to deliver on its mandates.,0.0031042506,0.16384485,0.8330509,0.82994664,positive
0,2020-03-03,"That is, to promote and maintain price stability, a strong financial system, and a safe and efficient payments and settlements system conducive to a sustainable and inclusive growth of the economy.",0.00373309,0.12810366,0.8681632,0.8644301,positive
0,2020-03-03,And with the passage of Republic Act No.,0.00473932,0.7770791,0.21818158,0.21344227,neutral
0,2020-03-03,"11211, or the 'New Central Bank Act' last year, you can be assured that we will remain steadfast to its expanded mandates.",0.0028134494,0.31505075,0.6821358,0.67932236,positive
0,2020-03-03,We will ensure the implementation the reforms provided in the Act to improve BSP's corporate viability and to align its operations with global best practices in central banking.,0.0021339126,0.10524216,0.8926239,0.89049,positive
0,2020-03-03,"For instance, the restoration of the central bank's authority to issue its own debt papers too, has provided the BSP an additional policy instrument at its disposal.",0.0058888034,0.25609246,0.73801875,0.73212993,positive
0,2020-03-03,The BSP is already in the final stage of crafting the policy framework for its debt securities issuances which is scheduled to begin in the third quarter of the year.,0.004075616,0.41368723,0.5822371,0.57816154,positive
0,2020-03-03,"In addition, the restoration of the BSP's authority to obtain data from any private person or entity, from the public and private sectors, for policymaking purposes establishes a stronger prudential regulatory framework which helps promote a safe and sound financial system The amendment likewise empowers further the BSP to oversee the country's payment and settlement systems (PSS) including critical financial market infrastructures that are vital components of the Payments and Settlement Systems.",0.0024715643,0.082347214,0.9151812,0.91270965,positive
0,2020-03-03,"Looking ahead, the BSP will continue to pursue the achievement of its mandates and objectives particularly in the advent of the ""fourth industrial revolution"".",0.004972211,0.3193601,0.67566764,0.6706954,positive
0,2020-03-03,"Our goal is to continue to leverage on emerging digital innovations -use of blockchain technology, fintech, mobile payments, and digital currencies, among others- to promote a more efficient and inclusive financial system.",0.002381568,0.13916636,0.858452,0.85607046,positive
0,2020-03-03,"We want to foster an enabling ecosystem, bound by parameters set by BSP as a financial regulator, where responsible innovations are encouraged to thrive and expand.",0.0026390362,0.21973936,0.7776216,0.7749826,positive
0,2020-03-03,"In doing so, we also engage other central banks who are keen on pursuing similar policies.",0.009996186,0.6524284,0.3375754,0.32757923,neutral
0,2020-03-03,"Recently, on February 3, 2020, the BSP signed a Memorandum of Understanding (MoU) with the Bank of Indonesia on cooperation in the area of payment systems and digital financial innovation.",0.0047719004,0.41418844,0.58103967,0.5762678,positive
0,2020-03-03,"The MOU aims to provide a framework for closer cooperation between the two central banks to achieve a more secure, efficient, and reliable payment system, and to promote digital financial innovation.",0.0030360387,0.14329009,0.8536738,0.8506378,positive
0,2020-03-03,"The BSP believes that promoting safe, innovative and affordable financial products and services through digitalization promotes greater financial inclusion.",0.0034677235,0.1160656,0.8804667,0.87699896,positive
0,2020-03-03,"In turn, this will enhance economic growth as millions of Filipinos will now have access to various online financial products and services.",0.0055510923,0.047890667,0.9465582,0.9410071,positive
0,2020-03-03,"In closing, let me leave you with some key take-aways.",0.0036277238,0.9752147,0.021157525,0.017529802,neutral
0,2020-03-03,The Philippine economy in 2020 is expected to sustain its strong growth - stable inflation dynamics that it has been posting in recent decade.,0.006201254,0.08015893,0.91363984,0.9074386,positive
0,2020-03-03,The domestic economy has sufficient buffers from possible external shocks that may arise from recent global uncertainties.,0.019191533,0.3333927,0.64741576,0.62822425,positive
0,2020-03-03,"Robust monetary, financial, and external sectors are expected to continue to support economic growth in 2020 and over the medium term.",0.0080481125,0.1340664,0.85788554,0.8498374,positive
0,2020-03-03,"The BSP is committed to promote and maintain price stability, a stable financial system, and a safe and efficient payments and settlements system conducive to a strong sustainable and inclusive growth of the economy.",0.0024907095,0.09340265,0.9041067,0.901616,positive
